Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
3840;90,9;49,1;14,8;0,967;67,82;10,75;900;0,0;1,11;0,00;0,14;-2,24;0,59;0,78;0,00;0;14,45
3919;90,9;49,1;14,8;0,967;67,91;10,75;899;0,0;1,11;0,00;0,14;-2,38;0,61;0,74;0,00;0;14,36
4000;90,9;49,1;17,4;1,073;75,54;11,75;882;0,0;1,11;0,00;0,14;-2,53;0,61;0,74;0,00;0;14,36
4081;90,9;49,1;15,6;0,972;68,33;10,75;894;0,0;1,12;0,00;0,14;-2,68;0,57;0,74;0,00;0;14,45
4158;90,9;49,1;14,4;1,132;80,03;12,75;902;0,0;0,83;0,00;0,14;-2,82;0,61;0,76;0,00;0;14,45
4238;90,9;49,1;15,9;0,972;68,50;10,75;892;0,0;1,12;0,00;0,14;-2,97;0,57;0,78;0,00;0;14,63
4319;90,9;49,1;14,4;0,956;67,65;10,75;903;0,0;0,84;0,00;0,14;-3,12;0,59;0,86;0,00;0;14,63
4399;90,9;49,1;16,3;0,886;62,31;9,75;891;0,0;1,13;0,00;0,14;-3,26;0,57;1,02;0,00;0;14,85
4479;90,9;49,1;17,1;1,057;75,03;11,75;888;0,0;1,14;0,00;0,14;-3,41;0,62;1,39;0,00;0;14,85
4559;90,9;49,1;17,1;1,148;79,61;11,75;837;0,0;1,75;0,00;0,14;-2,75;0,61;2,69;0,00;0;14,99
4639;90,9;49,1;17,4;1,105;78,00;11,75;854;0,0;1,19;0,00;0,14;-2,60;0,62;3,96;0,00;0;14,99
4721;90,9;49,1;17,8;1,073;75,71;11,75;880;0,0;1,21;0,00;0,14;-2,45;0,57;4,53;0,00;0;14,94
4801;90,9;49,1;15,6;0,892;61,97;9,75;896;0,0;1,21;0,00;0,14;-2,31;0,55;4,70;0,00;0;14,94
4880;90,9;49,1;14,1;0,961;67,48;10,75;905;0,0;0,92;0,00;0,14;-2,16;0,61;4,74;0,00;0;15,02
4959;90,9;49,1;17,1;1,255;86,22;12,75;837;0,0;1,81;0,00;0,14;-2,01;0,62;4,76;0,00;0;15,17
5040;90,9;49,1;16,7;1,298;87,75;12,75;823;0,0;2,74;0,00;0,14;-1,87;0,64;4,78;0,00;0;15,29
5119;90,9;49,1;17,4;1,228;85,03;12,75;849;0,0;1,59;0,00;0,14;-1,72;0,62;4,80;0,00;0;15,27
5199;90,9;49,1;17,8;1,185;82,66;12,75;873;0,0;1,31;0,00;0,14;-1,57;0,62;4,80;0,00;0;15,19
5279;90,9;49,1;14,1;0,967;67,32;10,75;907;0,0;1,03;0,00;0,14;-1,43;0,59;4,80;0,00;0;15,21
5359;90,9;49,1;12,2;0,940;65,62;10,75;931;0,0;1,00;0,00;0,14;-1,28;0,57;4,82;0,00;0;15,27
5440;90,9;49,1;11,1;1,009;70,54;11,75;945;0,0;0,97;0,00;0,14;-1,14;0,62;4,82;0,00;0;15,51
5518;90,9;49,1;13,0;1,121;78,08;12,75;925;0,0;0,94;0,00;0,14;-0,99;0,62;4,78;0,00;0;15,46
5599;90,9;49,1;11,5;1,015;71,05;11,75;938;0,0;0,91;0,00;0,14;-1,19;0,61;1,31;0,00;0;14,70
5680;90,9;49,1;10,7;0,849;58,41;9,75;951;0,0;0,87;0,00;0,14;-1,34;0,53;0,80;0,00;0;14,35
5760;90,9;49,1;11,8;0,940;65,28;10,75;936;0,0;0,84;0,00;0,14;-1,49;0,59;0,70;0,00;0;14,02
5840;90,9;49,1;16,7;0,983;68,25;10,75;895;0,0;1,11;0,00;0,14;-1,63;0,55;0,68;0,00;0;13,94
5919;90,9;49,1;16,7;0,983;66,55;9,75;834;0,0;2,01;0,00;0,14;-1,78;0,61;0,68;0,00;0;14,05
6000;90,9;49,1;17,1;1,244;85,54;12,75;844;0,0;1,75;0,00;0,14;-1,93;0,62;0,68;0,00;0;14,14
6078;90,9;49,1;17,1;1,047;71,98;10,75;849;0,0;1,77;0,00;0,14;-2,07;0,62;0,68;0,00;0;14,20
6159;90,9;49,1;17,8;1,073;75,71;11,75;880;0,0;1,21;0,00;0,14;-2,22;0,61;0,70;0,00;0;14,20
6238;90,9;49,1;16,7;1,148;80,63;12,75;895;0,0;1,21;0,00;0,14;-2,37;0,61;0,80;0,00;0;14,58
6320;90,9;49,1;13,7;1,036;73,25;11,75;910;0,0;0,92;0,00;0,14;-2,51;0,62;1,72;0,00;0;14,58
6399;90,9;49,1;12,6;1,020;71,81;11,75;928;0,0;0,90;0,00;0,14;-1,70;0,61;4,51;0,00;0;15,14
6479;90,9;49,1;13,3;0,956;66,47;10,75;919;0,0;0,87;0,00;0,14;-1,56;0,57;4,68;0,00;0;15,14
6558;90,9;49,1;14,4;0,967;67,48;10,75;905;0,0;0,86;0,00;0,14;-1,41;0,61;4,68;0,00;0;14,99
6640;90,9;49,1;16,7;1,073;74,95;11,75;889;0,0;1,15;0,00;0,14;-1,26;0,62;2,81;0,00;0;14,99
6719;90,9;49,1;16,3;1,073;74,78;11,75;891;0,0;1,16;0,00;0,14;-1,54;0,61;1,21;0,00;0;14,69
6800;90,9;49,1;14,1;1,137;79,69;12,75;906;0,0;1,17;0,00;0,14;-1,69;0,62;0,92;0,00;0;14,69
6880;90,9;49,1;13,7;0,956;66,98;10,75;912;0,0;0,86;0,00;0,14;-1,84;0,55;0,84;0,00;0;14,54
6959;90,9;49,1;13,0;0,945;66,38;10,75;920;0,0;0,84;0,00;0,14;-1,98;0,61;0,84;0,00;0;14,54
7039;90,9;49,1;14,4;1,132;79,69;12,75;906;0,0;0,82;0,00;0,14;-2,13;0,64;0,90;0,00;0;14,64
7118;90,9;49,1;14,4;1,137;80,03;12,75;902;0,0;0,81;0,00;0,14;-2,28;0,61;1,02;0,00;0;14,64
7199;90,9;49,1;13,7;1,036;73,17;11,75;911;0,0;0,81;0,00;0,14;-2,42;0,59;1,03;0,00;0;14,77
7278;90,9;49,1;13,0;0,940;66,38;10,75;920;0,0;0,79;0,00;0,14;-2,57;0,59;0,96;0,00;0;14,77
7359;90,9;49,1;14,1;0,956;67,23;10,75;909;0,0;0,76;0,00;0,14;-2,72;0,61;0,86;0,00;0;14,69
7439;90,9;49,1;14,4;0,951;67,57;10,75;904;0,0;0,76;0,00;0,14;-2,86;0,59;0,84;0,00;0;14,69
7518;90,9;49,1;15,6;1,052;74,27;11,75;897;0,0;1,05;0,00;0,14;-3,01;0,61;0,80;0,00;0;14,66
7598;90,9;49,1;16,3;1,052;74,69;11,75;892;0,0;1,05;0,00;0,14;-3,16;0,59;0,76;0,00;0;14,66
7679;90,9;49,1;14,8;1,036;73,93;11,75;901;0,0;1,06;0,00;0,14;-3,30;0,62;0,72;0,00;0;14,49
7759;90,9;49,1;14,8;1,121;80,12;12,75;901;0,0;1,06;0,00;0,14;-3,45;0,62;0,72;0,00;0;14,49
7840;90,9;49,1;14,1;1,111;79,52;12,75;908;0,0;0,76;0,00;0,14;-3,60;0,64;0,72;0,00;0;14,46
7919;90,9;49,1;13,3;1,100;78,85;12,75;916;0,0;0,74;0,00;0,14;-3,74;0,64;0,72;0,00;0;14,46
7998;90,9;49,1;13,0;1,004;72,23;11,75;922;0,0;0,72;0,00;0,14;-3,89;0,61;0,72;0,00;0;14,54
8080;90,9;49,1;12,6;0,918;65,96;10,75;926;0,0;0,70;0,00;0,14;-4,03;0,59;0,72;0,00;0;14,54
8159;90,9;49,1;13,7;1,009;72,74;11,75;916;0,0;0,67;0,00;0,14;-4,18;0,62;0,72;0,00;0;14,54
8239;90,9;49,1;13,7;0,929;66,72;10,75;915;0,0;0,65;0,00;0,14;-4,33;0,55;0,70;0,00;0;14,54
8319;90,9;49,1;13,7;1,095;79,18;12,75;912;0,0;0,64;0,00;0,14;-4,47;0,62;0,68;0,00;0;14,51
8399;90,9;49,1;17,8;1,137;81,73;12,75;883;0,0;0,92;0,00;0,14;-4,62;0,62;0,66;0,00;0;14,38
8478;90,9;49,1;17,8;1,052;75,88;11,75;878;0,0;0,95;0,00;0,14;-4,77;0,59;0,64;0,00;0;14,27
8559;90,9;49,1;15,6;1,025;74,18;11,75;898;0,0;0,95;0,00;0,14;-4,91;0,62;0,62;0,00;0;14,20
8639;90,9;49,1;14,4;1,015;73,84;11,75;902;0,0;0,66;0,00;0,14;-5,00;0,61;0,64;0,00;0;14,11
8719;90,9;49,1;14,4;1,015;73,59;11,75;905;0,0;0,65;0,00;0,14;-5,00;0,61;0,66;0,00;0;14,29
8798;90,9;49,1;13,7;1,009;73,25;11,75;910;0,0;0,64;0,00;0,14;-5,00;0,59;0,68;0,00;0;14,32
8878;90,9;49,1;14,1;1,100;79,86;12,75;904;0,0;0,64;0,00;0,14;-5,00;0,62;0,66;0,00;0;14,45
8960;90,9;49,1;16,7;0,956;68,84;10,75;887;0,0;0,92;0,00;0,14;-5,00;0,57;0,66;0,00;0;14,42
9038;90,9;49,1;15,6;0,945;68,33;10,75;894;0,0;0,94;0,00;0,14;-5,00;0,61;0,64;0,00;0;14,30
9119;90,9;49,1;15,2;1,031;74,27;11,75;897;0,0;0,94;0,00;0,14;-5,00;0,62;0,62;0,00;0;14,23
9199;90,9;49,1;15,6;1,116;80,54;12,75;896;0,0;0,95;0,00;0,14;-5,00;0,61;0,62;0,00;0;14,14
9285;90,9;49,1;14,1;1,009;73,42;11,75;908;0,0;0,65;0,00;0,14;-5,00;0,62;0,62;0,00;0;14,13
9368;90,9;49,1;14,1;0,934;67,40;10,75;906;0,0;0,63;0,00;0,14;-5,00;0,57;0,62;0,00;0;14,10
9448;90,9;49,1;13,7;1,009;73,17;11,75;911;0,0;0,62;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,13
9529;90,9;49,1;14,8;0,934;67,82;10,75;900;0,0;0,91;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,11
9608;90,9;49,1;16,3;1,036;74,95;11,75;889;0,0;0,92;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,19
9688;90,9;49,1;16,3;0,951;68,59;10,75;891;0,0;0,93;0,00;0,14;-5,00;0,57;0,62;0,00;0;14,24
9770;90,9;49,1;15,9;1,121;80,96;12,75;892;0,0;0,94;0,00;0,14;-5,00;0,61;0,62;0,00;0;14,24
9848;90,9;49,1;15,2;0,945;68,08;10,75;897;0,0;0,94;0,00;0,14;-5,00;0,61;0,62;0,00;0;14,24
9929;90,9;49,1;14,1;1,100;79,78;12,75;905;0,0;0,64;0,00;0,14;-5,00;0,62;0,64;0,00;0;14,24
10008;90,9;49,1;17,1;0,951;68,67;10,75;889;0,0;0,94;0,00;0,14;-5,00;0,57;0,64;0,00;0;14,24
10088;90,9;49,1;15,6;1,025;74,18;11,75;898;0,0;0,95;0,00;0,14;-5,00;0,59;0,66;0,00;0;14,33
10169;90,9;49,1;17,8;1,041;75,62;11,75;881;0,0;0,95;0,00;0,14;-5,00;0,61;0,68;0,00;0;14,46
10248;90,9;49,1;17,8;0,967;69,69;10,75;876;0,0;0,97;0,00;0,14;-5,00;0,57;0,70;0,00;0;14,46
10329;90,9;49,1;16,7;0,951;68,76;10,75;888;0,0;0,98;0,00;0,14;-5,00;0,59;0,72;0,00;0;14,60
10409;90,9;49,1;17,1;0,956;69,10;10,75;884;0,0;0,98;0,00;0,14;-5,00;0,59;0,74;0,00;0;14,60
10488;90,9;49,1;17,8;1,041;75,62;11,75;881;0,0;1,00;0,00;0,14;-5,00;0,62;0,76;0,00;0;14,69
10568;90,9;49,1;17,1;1,132;81,56;12,75;885;0,0;1,01;0,00;0,14;-5,00;0,62;0,78;0,00;0;14,69
10650;90,9;49,1;15,9;1,121;80,96;12,75;892;0,0;1,02;0,00;0,14;-5,00;0,61;0,80;0,00;0;14,71
10730;90,9;49,1;14,1;0,934;67,23;10,75;909;0,0;0,72;0,00;0,14;-5,00;0,61;0,86;0,00;0;14,71
10808;90,9;49,1;13,3;1,004;72,74;11,75;916;0,0;0,69;0,00;0,14;-5,00;0,61;1,00;0,00;0;14,83
10888;90,9;49,1;15,6;1,105;80,20;12,75;900;0,0;0,99;0,00;0,14;-5,00;0,62;1,44;0,00;0;14,83
10969;90,9;49,1;15,6;1,116;80,37;12,75;898;0,0;0,99;0,00;0,14;-4,23;0,62;2,79;0,00;0;15,05
11049;90,9;49,1;13,7;1,105;79,35;12,75;910;0,0;0,69;0,00;0,14;-4,08;0,62;3,90;0,00;0;15,05
11128;90,9;49,1;13,3;1,015;72,74;11,75;916;0,0;0,66;0,00;0,14;-3,94;0,61;4,18;0,00;0;14,98
11209;90,9;49,1;13,3;1,009;72,57;11,75;918;0,0;0,63;0,00;0,14;-3,79;0,61;3,94;0,00;0;14,98
11289;91,7;49,1;13,7;0,934;66,81;10,75;914;0,0;0,62;0,00;0,14;-3,64;0,59;2,95;0,00;0;14,88
11368;91,7;49,1;15,2;0,951;67,99;10,75;898;0,0;0,91;0,00;0,14;-3,92;0,59;1,74;0,00;0;14,88
11451;91,7;49,1;14,8;1,031;74,01;11,75;900;0,0;0,91;0,00;0,14;-4,07;0,62;1,07;0,00;0;14,76
11528;91,7;49,1;17,8;1,052;75,71;11,75;880;0,0;0,93;0,00;0,14;-4,21;0,62;0,90;0,00;0;14,76
11608;91,7;49,1;17,1;1,047;75,20;11,75;886;0,0;0,95;0,00;0,14;-4,36;0,61;0,78;0,00;0;14,61
11689;91,7;49,1;15,2;1,036;74,27;11,75;897;0,0;0,95;0,00;0,14;-4,51;0,61;0,74;0,00;0;14,61
11769;91,7;49,1;14,4;1,105;79,86;12,75;904;0,0;0,65;0,00;0,14;-4,65;0,62;0,74;0,00;0;14,52
11850;91,7;49,1;14,1;1,009;73,33;11,75;909;0,0;0,63;0,00;0,14;-4,80;0,57;0,76;0,00;0;14,52
11929;91,7;49,1;13,0;0,918;66,38;10,75;920;0,0;0,61;0,00;0,14;-4,95;0,59;0,80;0,00;0;14,66
12016;91,7;49,1;14,4;1,015;73,50;11,75;907;0,0;0,58;0,00;0,14;-5,00;0,61;0,84;0,00;0;14,66
12099;91,7;49,1;14,4;1,100;79,78;12,75;905;0,0;0,57;0,00;0,14;-5,00;0,61;0,82;0,00;0;14,71
12179;91,7;49,1;14,1;0,934;67,32;10,75;907;0,0;0,56;0,00;0,14;-5,00;0,57;0,76;0,00;0;14,71
12259;91,7;49,1;14,1;1,095;79,52;12,75;908;0,0;0,54;0,00;0,14;-5,00;0,62;0,72;0,00;0;14,57
12338;91,7;49,1;14,4;1,015;73,76;11,75;903;0,0;0,54;0,00;0,14;-5,00;0,61;0,68;0,00;0;14,57
12418;91,7;49,1;13,7;1,095;79,35;12,75;910;0,0;0,54;0,00;0,14;-5,00;0,61;0,66;0,00;0;14,36
12498;91,7;49,1;13,7;1,009;73,17;11,75;911;0,0;0,52;0,00;0,14;-5,00;0,61;0,66;0,00;0;14,36
12579;91,7;49,1;13,7;0,929;67,06;10,75;911;0,0;0,51;0,00;0,14;-5,00;0,59;0,64;0,00;0;14,29
12658;91,7;49,1;13,7;0,929;66,89;10,75;913;0,0;0,49;0,00;0,14;-5,00;0,57;0,64;0,00;0;14,29
12740;91,7;49,1;14,8;1,020;74,01;11,75;900;0,0;0,49;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,23
12819;91,7;49,1;17,1;0,956;68,84;10,75;887;0,0;0,79;0,00;0,14;-5,00;0,57;0,62;0,00;0;14,23
12898;91,7;49,1;17,8;1,041;75,54;11,75;882;0,0;0,80;0,00;0,14;-5,00;0,61;0,62;0,00;0;14,19
12979;91,7;49,1;17,1;1,036;75,12;11,75;887;0,0;0,81;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,10
13059;91,7;49,1;15,9;0,870;62,14;9,75;893;0,0;0,82;0,00;0,14;-5,00;0,57;0,62;0,00;0;14,13
13138;91,7;49,1;15,9;0,951;68,42;10,75;893;0,0;0,83;0,00;0,14;-5,00;0,57;0,62;0,00;0;14,17
13219;91,7;49,1;17,8;0,988;71,30;10,75;857;0,0;0,84;0,00;0,14;-5,00;0,59;0,62;0,00;0;14,17
13298;91,7;49,1;17,8;1,159;83,59;12,75;864;0,0;0,87;0,00;0,14;-5,00;0,62;0,64;0,00;0;14,32
13378;91,7;49,1;17,8;1,057;76,81;11,75;868;0,0;0,88;0,00;0,14;-5,00;0,62;0,66;0,00;0;14,38
13459;91,7;49,1;16,7;1,036;74,95;11,75;889;0,0;0,89;0,00;0,14;-5,00;0,61;0,72;0,00;0;14,57
13538;91,7;49,1;15,6;1,031;74,35;11,75;896;0,0;0,89;0,00;0,14;-5,00;0,62;0,82;0,00;0;14,66
13619;91,7;49,1;13,7;1,009;73,25;11,75;910;0,0;0,59;0,00;0,14;-5,00;0,61;1,13;0,00;0;14,89
13699;91,7;49,1;14,4;1,015;73,84;11,75;902;0,0;0,59;0,00;0,14;-4,23;0,62;2,56;0,00;0;14,95
13778;91,7;49,1;14,1;1,025;73,59;11,75;906;0,0;0,58;0,00;0,14;-4,08;0,62;3,67;0,00;0;14,98
13859;91,7;49,1;13,7;1,015;73,25;11,75;910;0,0;0,57;0,00;0,14;-4,29;0,62;1,25;0,00;0;14,88
13938;91,7;49,1;13,7;1,095;79,01;12,75;914;0,0;0,56;0,00;0,14;-4,43;0,61;0,86;0,00;0;14,71
14018;91,7;49,1;13,7;0,849;60,79;9,75;913;0,0;0,54;0,00;0,14;-4,58;0,57;0,76;0,00;0;14,63
14098;91,7;49,1;13,7;1,004;72,83;11,75;915;0,0;0,51;0,00;0,14;-4,73;0,62;0,74;0,00;0;14,61
14179;91,7;49,1;17,8;1,127;81,39;12,75;887;0,0;0,81;0,00;0,14;-4,87;0,61;0,74;0,00;0;14,61
14258;91,7;49,1;17,8;1,137;82,07;12,75;880;0,0;0,82;0,00;0,14;-5,00;0,62;0,72;0,00;0;14,55
14337;91,7;49,1;16,3;1,031;74,44;11,75;895;0,0;0,83;0,00;0,14;-5,00;0,59;0,72;0,00;0;14,55
14419;91,7;49,1;14,1;1,015;73,50;11,75;907;0,0;0,54;0,00;0,14;-5,00;0,61;0,72;0,00;0;14,51
14501;91,7;49,1;13,7;0,844;60,87;9,75;912;0,0;0,52;0,00;0,14;-5,00;0,57;0,70;0,00;0;14,51
14578;91,7;49,1;14,1;1,105;80,03;12,75;902;0,0;0,51;0,00;0,14;-5,00;0,61;0,76;0,00;0;14,63
14659;91,7;49,1;17,1;1,041;75,54;11,75;882;0,0;0,81;0,00;0,14;-5,00;0,62;0,76;0,00;0;14,63
14739;91,7;49,1;16,7;1,132;81,56;12,75;885;0,0;0,83;0,00;0,14;-5,00;0,62;0,76;0,00;0;14,66
14818;91,7;49,1;14,4;1,025;74,10;11,75;899;0,0;0,83;0,00;0,14;-5,00;0,61;0,72;0,00;0;14,66
14899;91,7;49,1;13,7;0,934;67,23;10,75;909;0,0;0,53;0,00;0,14;-5,00;0,59;0,72;0,00;0;14,58
14979;91,7;49,1;13,7;0,934;67,23;10,75;908;0,0;0,52;0,00;0,14;-5,00;0,57;0,70;0,00;0;14,58
15059;91,7;49,1;14,1;1,100;79,95;12,75;903;0,0;0,51;0,00;0,14;-5,00;0,62;0,70;0,00;0;14,52
15138;91,7;49,1;14,1;1,015;73,76;11,75;903;0,0;0,50;0,00;0,14;-5,00;0,59;0,68;0,00;0;14,52
15220;91,7;49,1;13,3;0,849;61,04;9,75;910;0,0;0,50;0,00;0,14;-5,00;0,55;0,68;0,00;0;14,48
15298;91,7;49,1;13,3;1,004;72,91;11,75;914;0,0;0,48;0,00;0,14;-5,00;0,61;0,66;0,00;0;14,48
15378;91,7;49,1;17,4;1,047;76,05;11,75;876;0,0;0,76;0,00;0,14;-5,00;0,61;0,64;0,00;0;14,33
15458;91,7;49,1;17,4;0,956;69,10;10,75;884;0,0;0,78;0,00;0,14;-5,00;0,59;0,64;0,00;0;14,33
15539;91,7;49,1;15,6;0,940;67,99;10,75;898;0,0;0,79;0,00;0,14;-5,00;0,61;0,64;0,00;0;14,35
15618;91,7;49,1;14,1;0,940;67,91;10,75;899;0,0;0,79;0,00;0,14;-5,00;0,57;0,66;0,00;0;14,35
15700;91,7;49,1;14,1;0,934;67,82;10,75;901;0,0;0,79;0,00;0,14;-5,00;0,61;0,68;0,00;0;14,51
15779;91,7;49,1;15,9;1,036;75,12;11,75;887;0,0;0,79;0,00;0,14;-5,00;0,61;0,72;0,00;0;14,51
15859;91,7;49,1;15,6;1,127;81,13;12,75;890;0,0;0,80;0,00;0,14;-5,00;0,62;0,76;0,00;0;14,80
15939;91,7;49,1;14,4;1,116;80,46;12,75;897;0,0;0,81;0,00;0,14;-5,00;0,61;0,80;0,00;0;14,80
