Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
5691;85,0;46,1;18,9;1,629;110,89;27,75;1402;5,9;0,00;0,00;0,14;2,53;0,96;0,74;0,00;0;14,29
5772;85,0;46,1;18,9;1,666;113,52;28,75;1419;5,9;0,00;0,00;0,14;2,20;1,03;0,80;0,00;0;14,32
5852;85,0;46,1;18,9;1,773;121,40;30,75;1418;5,9;0,00;0,00;0,14;1,87;0,96;1,00;0,00;0;14,85
5931;85,0;45,4;18,9;1,602;110,13;27,75;1412;5,9;0,00;0,00;0,14;1,54;0,96;1,64;0,00;0;14,98
6012;85,0;45,4;18,9;1,757;117,17;29,75;1422;5,9;0,00;0,00;0,14;4,64;1,00;2,83;0,00;0;15,01
6091;85,0;45,4;19,3;1,730;116,83;29,75;1426;5,9;0,00;0,00;0,14;3,11;1,02;1,21;0,00;0;15,01
6171;85,0;45,4;18,9;1,736;117,59;29,75;1417;5,9;0,00;0,00;0,14;2,78;0,98;1,21;0,00;0;14,82
6253;85,0;45,4;19,3;1,591;108,43;27,75;1434;5,9;0,00;0,00;0,14;2,45;0,96;1,17;0,00;0;14,82
6331;85,0;45,4;19,3;1,533;104,53;26,75;1435;5,9;0,00;0,00;0,14;2,14;0,96;1,09;0,00;0;14,70
6411;85,0;45,4;18,9;1,479;101,23;25,75;1427;5,9;0,00;0,00;0,14;1,83;0,96;1,11;0,00;0;14,70
6490;85,0;45,4;19,3;1,565;107,59;27,75;1445;5,9;0,00;0,00;0,14;1,52;1,00;1,31;0,00;0;14,76
6572;85,0;45,4;19,3;1,794;119,96;30,75;1435;5,9;0,00;0,00;0,14;4,29;1,02;3,24;0,00;0;14,76
6650;85,0;45,4;19,3;1,789;119,62;30,75;1439;5,9;0,00;0,00;0,14;4,62;1,00;4,68;0,00;0;15,14
6731;85,0;45,4;19,3;1,671;111,15;28,75;1449;5,9;0,00;0,00;0,14;4,95;0,98;4,76;0,00;0;15,14
6811;85,0;45,4;19,3;1,687;111,91;28,75;1439;5,9;0,00;0,00;0,14;5,27;1,03;4,78;0,00;0;15,23
6892;85,0;45,4;19,3;1,736;114,88;29,75;1450;5,9;0,00;0,00;0,14;5,62;1,02;4,78;0,00;0;15,23
6971;85,0;45,4;19,7;1,730;114,11;29,75;1460;5,9;0,00;0,00;0,14;5,95;0,96;3,05;0,00;0;14,69
7051;85,0;45,4;19,3;1,618;107,92;27,75;1441;5,9;0,00;0,00;0,14;4,42;0,98;1,54;0,00;0;14,69
7133;85,0;45,4;19,7;1,757;117,59;30,75;1464;5,9;0,00;0,00;0,14;4,09;0,98;1,00;0,00;0;14,33
7211;85,0;45,4;19,7;1,527;102,75;26,75;1459;5,9;0,00;0,00;0,14;3,78;1,02;0,86;0,00;0;14,33
7290;85,0;45,4;19,3;1,645;110,89;28,75;1453;5,9;0,00;0,00;0,14;3,46;0,98;0,86;0,00;0;14,45
7372;85,0;45,4;19,7;1,671;113,27;29,75;1471;5,9;0,00;0,00;0,14;3,13;1,02;0,90;0,00;0;14,45
7451;85,0;45,4;19,7;1,623;110,30;28,75;1460;5,9;0,00;0,00;0,14;2,80;0,98;0,88;0,00;0;14,60
7532;85,0;45,4;19,7;1,559;106,14;27,75;1465;5,9;0,00;0,00;0,14;2,50;0,98;0,84;0,00;0;14,60
7612;85,0;45,4;20,0;1,709;116,74;30,75;1475;5,9;0,00;0,00;0,14;2,19;0,98;0,84;0,00;0;14,55
7690;85,0;45,4;19,7;1,709;117,08;30,75;1471;5,9;0,00;0,00;0,14;1,86;1,02;0,90;0,00;0;14,55
7778;85,0;45,4;19,7;1,639;112,93;29,75;1476;5,9;0,00;0,00;0,14;1,53;0,98;1,25;0,00;0;14,98
7861;85,0;45,4;19,7;1,581;109,03;28,75;1477;5,9;0,00;0,00;0,14;1,21;1,00;1,68;0,00;0;14,98
7942;85,0;45,4;20,0;1,741;120,39;31,75;1476;5,9;0,00;0,00;0,14;0,89;1,03;1,15;0,00;0;14,70
8023;85,0;45,4;20,0;1,501;104,45;27,75;1489;5,9;0,00;0,00;0,14;0,56;0,96;0,96;0,00;0;14,70
8101;85,0;45,4;20,0;1,778;123,78;32,75;1481;5,9;0,00;0,00;0,14;0,25;1,03;0,92;0,00;0;14,57
8181;85,0;45,4;20,0;1,719;119,79;31,75;1484;5,9;0,00;0,00;0,14;-0,09;1,02;0,90;0,00;0;14,57
8261;85,0;45,4;20,0;1,586;111,15;29,75;1499;5,9;0,00;0,00;0,14;-0,42;1,02;0,88;0,00;0;14,57
8342;85,0;45,4;20,0;1,655;116,06;30,75;1483;5,9;0,00;0,00;0,14;-0,75;1,00;0,86;0,00;0;14,57
8422;85,0;45,4;20,0;1,736;122,51;32,75;1496;5,9;0,00;0,00;0,14;-1,08;1,02;0,84;0,00;0;14,49
8502;85,0;45,4;20,4;1,666;118,18;31,75;1504;5,9;0,00;0,00;0,14;-1,41;1,05;0,84;0,00;0;14,49
8581;85,0;45,4;20,0;1,522;108,09;28,75;1490;5,9;0,00;0,00;0,14;-1,75;1,02;0,84;0,00;0;14,58
8661;85,0;45,4;20,0;1,447;103,35;27,75;1505;5,9;0,00;0,00;0,14;-2,05;1,00;0,82;0,00;0;14,58
8741;85,0;45,4;20,0;1,447;103,52;27,75;1502;5,9;0,00;0,00;0,14;-2,36;1,00;0,82;0,00;0;14,52
8822;85,0;45,4;20,0;1,549;111,06;29,75;1500;5,9;0,00;0,00;0,14;-2,65;1,02;0,86;0,00;0;14,48
8900;85,0;45,4;20,4;1,527;109,96;29,75;1515;5,9;0,00;0,00;0,14;-2,94;1,03;1,15;0,00;0;14,63
8981;85,0;44,6;20,4;1,634;114,20;30,75;1508;5,9;0,00;0,00;0,14;-0,15;1,02;4,24;0,00;0;15,05
9062;85,0;44,6;20,0;1,469;102,58;27,75;1516;5,9;0,00;0,00;0,14;0,18;1,00;4,74;0,00;0;15,21
9141;85,0;44,6;20,4;1,474;102,41;27,75;1519;5,9;0,00;0,00;0,14;0,48;1,00;4,78;0,00;0;15,35
9221;85,0;44,6;20,0;1,485;102,92;27,75;1511;5,9;0,00;0,00;0,14;0,77;1,00;4,80;0,00;0;15,38
9301;85,0;44,6;20,0;1,426;98,43;26,75;1524;5,9;0,00;0,00;0,14;1,06;1,02;4,82;0,00;0;15,27
9381;85,0;44,6;20,4;1,597;109,87;29,75;1517;5,9;0,00;0,00;0,14;1,36;0,98;4,82;0,00;0;15,26
9460;85,0;44,6;20,4;1,538;105,81;28,75;1522;5,9;0,00;0,00;0,14;1,66;1,00;4,84;0,00;0;15,29
9540;85,0;44,6;20,4;1,533;105,30;28,75;1529;5,9;0,00;0,00;0,14;1,95;1,00;4,84;0,00;0;15,38
9620;85,0;44,6;20,4;1,549;105,72;28,75;1523;5,9;0,00;0,00;0,14;2,26;1,02;4,84;0,00;0;15,51
9701;85,0;44,6;20,4;1,485;101,23;27,75;1536;5,9;0,00;0,00;0,14;2,58;0,96;4,84;0,00;0;15,36
9781;85,0;44,6;20,8;1,597;108,52;29,75;1535;5,9;0,00;0,00;0,14;2,87;1,00;4,86;0,00;0;15,23
9863;85,0;44,6;20,4;1,554;105,04;28,75;1533;5,9;0,00;0,00;0,14;3,19;1,00;4,84;0,00;0;15,08
9940;85,0;44,6;20,8;1,650;111,57;30,75;1543;5,9;0,00;0,00;0,14;3,48;1,02;4,84;0,00;0;14,83
10022;85,0;44,6;20,8;1,607;108,18;29,75;1540;5,9;0,00;0,00;0,14;3,77;1,00;4,84;0,00;0;14,83
10102;85,0;44,6;20,8;1,554;104,36;28,75;1543;5,9;0,00;0,00;0,14;4,07;1,02;4,84;0,00;0;14,95
10182;85,0;44,6;20,8;1,549;103,77;28,75;1552;5,9;0,00;0,00;0,14;4,37;1,02;4,84;0,00;0;14,95
10260;85,0;44,6;20,8;1,784;118,69;32,75;1544;5,9;0,00;0,00;0,14;4,69;1,03;4,84;0,00;0;14,88
10342;85,0;44,6;20,8;1,607;107,08;29,75;1556;5,9;0,00;0,00;0,14;5,00;1,00;4,67;0,00;0;14,88
10422;85,0;44,6;20,8;1,719;114,11;31,75;1557;5,9;0,00;0,00;0,14;5,31;1,03;3,01;0,00;0;14,70
10501;85,0;44,6;20,8;1,650;110,98;30,75;1552;5,9;0,00;0,00;0,14;3,86;1,02;1,17;0,00;0;14,70
10581;85,0;44,6;20,8;1,527;102,92;28,75;1565;5,9;0,00;0,00;0,14;3,56;1,00;0,92;0,00;0;14,13
10662;85,0;44,6;20,8;1,575;106,82;29,75;1560;5,9;0,00;0,00;0,14;3,26;1,02;0,80;0,00;0;14,13
10742;85,0;44,6;20,8;1,570;106,82;29,75;1560;5,9;0,00;0,00;0,14;2,96;1,02;0,80;0,00;0;14,20
10822;85,0;44,6;21,2;1,607;109,37;30,75;1574;5,9;0,00;0,00;0,14;2,65;1,02;0,82;0,00;0;14,20
10901;85,0;44,6;20,8;1,559;106,48;29,75;1565;5,9;0,00;0,00;0,14;2,32;1,02;0,80;0,00;0;14,42
10981;85,0;44,6;20,8;1,436;98,68;27,75;1576;5,9;0,00;0,00;0,14;2,02;0,98;0,80;0,00;0;14,42
11061;85,0;44,6;20,8;1,431;98,51;27,75;1578;5,9;0,00;0,00;0,14;1,72;1,00;0,78;0,00;0;14,29
11141;85,0;44,6;20,8;1,538;106,23;29,75;1568;5,9;0,00;0,00;0,14;1,43;1,00;0,74;0,00;0;14,29
11223;85,0;44,6;21,2;1,565;108,52;30,75;1587;5,9;0,00;0,00;0,14;1,13;1,02;0,78;0,00;0;14,42
11302;85,0;44,6;21,2;1,629;113,35;31,75;1568;5,9;0,00;0,00;0,14;0,83;1,03;0,86;0,00;0;14,42
11380;85,0;44,6;21,2;1,458;101,82;28,75;1582;5,9;0,00;0,00;0,14;0,51;0,98;0,92;0,00;0;14,76
11463;85,0;44,6;20,8;1,351;94,61;26,75;1585;5,9;0,00;0,00;0,14;0,20;0,96;0,94;0,00;0;14,76
11541;85,0;44,6;21,2;1,517;105,97;29,75;1572;5,9;0,00;0,00;0,14;-0,08;1,00;0,90;0,00;0;14,64
11621;85,0;44,6;21,2;1,533;107,59;30,75;1600;5,9;0,00;0,00;0,14;-0,37;1,02;0,92;0,00;0;14,64
11703;85,0;44,6;21,5;1,543;108,60;30,75;1585;5,9;0,00;0,00;0,14;-0,70;1,02;0,96;0,00;0;14,77
11781;85,0;44,6;21,2;1,533;108,52;30,75;1587;5,9;0,00;0,00;0,14;-1,03;1,02;1,19;0,00;0;14,77
11862;85,0;44,6;21,5;1,410;100,29;28,75;1606;5,9;0,00;0,00;0,14;-1,34;1,02;1,31;0,00;0;14,88
11942;85,0;44,6;21,2;1,527;108,77;30,75;1583;5,9;0,00;0,00;0,14;-1,65;1,02;1,21;0,00;0;14,88
12021;85,0;44,6;21,2;1,255;89,78;25,75;1609;5,9;0,00;0,00;0,14;-1,98;1,00;1,09;0,00;0;14,80
12103;85,0;44,6;21,5;1,607;114,96;32,75;1594;5,9;0,00;0,00;0,14;-2,29;1,02;1,21;0,00;0;14,76
12181;85,0;44,6;21,5;1,687;121,49;34,75;1600;5,9;0,00;0,00;0,14;-2,62;1,05;1,56;0,00;0;14,83
12261;85,0;44,6;21,5;1,522;106,65;30,75;1614;5,9;0,00;0,00;0,14;0,23;1,03;4,02;0,00;0;14,89
12340;85,0;44,6;21,5;1,650;114,88;32,75;1595;5,9;0,00;0,00;0,14;0,54;1,03;4,72;0,00;0;15,10
12421;85,0;44,6;21,5;1,533;106,40;30,75;1618;5,9;0,00;0,00;0,14;0,87;1,02;4,70;0,00;0;15,10
12503;85,0;44,6;21,2;1,447;100,04;28,75;1610;5,9;0,00;0,00;0,14;1,20;1,02;2,03;0,00;0;14,79
12582;85,0;44,6;21,5;1,527;107,42;30,75;1603;5,9;0,00;0,00;0,14;-0,45;1,02;1,50;0,00;0;14,70
12662;85,0;44,6;21,9;1,452;102,33;29,75;1628;5,9;0,00;0,00;0,14;-0,81;1,02;1,29;0,00;0;14,73
12739;85,0;44,6;21,5;1,511;107,08;30,75;1608;5,9;0,00;0,00;0,14;-1,14;1,03;1,78;0,00;0;14,82
12821;85,0;44,6;21,5;1,452;103,01;29,75;1617;5,9;0,00;0,00;0,14;-1,49;0,98;1,76;0,00;0;14,94
12902;85,0;44,6;21,5;1,442;102,75;29,75;1621;5,9;0,00;0,00;0,14;-1,82;1,00;1,29;0,00;0;14,73
12980;85,0;44,6;21,5;1,399;100,21;28,75;1607;5,9;0,00;0,00;0,14;-2,15;0,98;1,19;0,00;0;14,71
13062;85,0;44,6;21,9;1,463;105,21;30,75;1636;5,9;0,00;0,00;0,14;-2,47;1,00;1,35;0,00;0;14,74
13141;85,0;44,6;21,5;1,618;113,10;32,75;1621;5,9;0,00;0,00;0,14;0,15;1,05;4,26;0,00;0;14,96
13220;85,0;44,6;21,9;1,469;102,33;29,75;1628;5,9;0,00;0,00;0,14;0,50;1,02;4,76;0,00;0;15,20
13301;85,0;44,6;21,5;1,415;98,34;28,75;1637;5,9;0,00;0,00;0,14;0,83;1,00;4,80;0,00;0;15,39
13382;85,0;44,6;21,2;1,436;99,53;28,75;1618;5,9;0,00;0,00;0,14;1,16;0,98;4,80;0,00;0;15,29
13461;85,0;44,6;21,9;1,469;101,31;29,75;1645;5,9;0,00;0,00;0,14;1,49;1,02;3,71;0,00;0;15,29
13540;85,0;44,6;21,9;1,639;112,76;32,75;1626;5,9;0,00;0,00;0,14;1,82;1,05;1,99;0,00;0;14,64
13623;85,0;44,6;21,9;1,452;101,57;29,75;1640;5,9;0,00;0,00;0,14;-0,07;0,98;1,56;0,00;0;14,64
13701;85,0;44,6;21,9;1,591;111,82;32,75;1639;5,9;0,00;0,00;0,14;-0,40;1,05;1,54;0,00;0;14,82
13781;85,0;44,6;21,9;1,538;108,26;31,75;1641;5,9;0,00;0,00;0,14;-0,73;1,03;1,56;0,00;0;14,82
13861;85,0;44,6;22,3;1,623;114,71;33,75;1646;5,9;0,00;0,00;0,14;-1,09;1,05;2,01;0,00;0;14,91
13940;85,0;43,9;22,3;1,671;114,96;33,75;1643;5,9;0,00;0,00;0,14;1,82;1,03;2,17;0,00;0;14,91
14021;85,0;43,9;22,3;1,581;110,64;32,75;1656;5,9;0,00;0,00;0,14;0,08;1,03;1,48;0,00;0;14,77
14101;85,0;43,9;22,3;1,639;115,05;33,75;1642;5,9;0,00;0,00;0,14;-0,25;1,03;1,19;0,00;0;14,77
14182;85,0;43,9;21,9;1,474;104,11;30,75;1654;5,9;0,00;0,00;0,14;-0,60;1,02;0,98;0,00;0;14,57
14261;85,0;43,9;22,3;1,463;103,86;30,75;1658;5,9;0,00;0,00;0,14;-0,93;1,02;0,90;0,00;0;14,57
14341;85,0;43,9;21,5;1,383;98,01;28,75;1644;5,9;0,00;0,00;0,14;-1,24;1,02;0,92;0,00;0;14,54
14421;85,0;43,9;22,3;1,506;107,25;31,75;1657;5,9;0,00;0,00;0,14;-1,57;1,03;0,94;0,00;0;14,54
14500;85,0;43,9;22,3;1,495;106,99;31,75;1661;5,9;0,00;0,00;0,14;-1,90;1,03;1,03;0,00;0;14,74
14581;85,0;43,9;22,3;1,452;104,11;30,75;1654;5,9;0,00;0,00;0,14;-2,23;1,03;2,23;0,00;0;14,74
14662;85,0;43,9;22,7;1,581;109,96;32,75;1667;5,9;0,00;0,00;0,14;0,87;1,02;3,69;0,00;0;14,95
14740;85,0;43,9;22,3;1,447;100,46;29,75;1658;5,9;0,00;0,00;0,14;1,22;1,03;2,87;0,00;0;14,95
14821;85,0;43,9;21,9;1,351;93,43;27,75;1664;5,9;0,00;0,00;0,14;1,55;1,00;2,65;0,00;0;14,86
14900;85,0;43,9;21,9;1,383;97,07;28,75;1659;5,9;0,00;0,00;0,14;0,07;1,02;1,33;0,00;0;14,86
14980;85,0;44,6;22,3;1,506;105,97;31,75;1677;5,9;0,00;0,00;0,14;-0,27;1,00;1,09;0,00;0;14,67
15062;84,2;44,6;22,3;1,511;106,65;31,75;1667;5,9;0,00;0,00;0,14;-0,59;1,03;1,27;0,00;0;14,67
15140;84,2;44,6;22,3;1,559;110,47;32,75;1659;5,9;0,00;0,00;0,14;-0,92;1,05;1,64;0,00;0;14,83
15222;84,2;44,6;22,3;1,346;95,55;28,75;1685;5,9;0,00;0,00;0,14;-1,25;1,02;1,35;0,00;0;14,83
15301;84,2;44,6;22,3;1,650;114,11;33,75;1655;5,9;0,00;0,00;0,14;1,28;1,05;2,91;0,00;0;14,96
15382;84,2;44,6;22,7;1,522;105,21;31,75;1689;5,9;0,00;0,00;0,14;1,65;1,03;4,33;0,00;0;14,96
15460;84,2;43,9;22,7;1,586;108,94;32,75;1683;5,9;0,00;0,00;0,14;1,98;1,03;4,72;0,00;0;14,96
15540;84,2;43,9;21,9;1,452;99,62;29,75;1672;5,9;0,00;0,00;0,14;2,31;1,00;4,61;0,00;0;15,07
15621;84,2;43,9;22,7;1,458;101,57;30,75;1695;5,9;0,00;0,00;0,14;0,97;1,02;1,37;0,00;0;14,80
15701;84,2;43,9;22,7;1,570;109,28;32,75;1677;5,9;0,00;0,00;0,14;0,64;1,05;1,09;0,00;0;14,51
15780;84,2;43,9;22,7;1,549;108,09;32,75;1695;5,9;0,00;0,00;0,14;0,31;1,02;1,05;0,00;0;14,58
15860;84,2;43,9;22,3;1,367;95,89;28,75;1680;5,9;0,00;0,00;0,14;-0,02;1,00;1,07;0,00;0;14,74
